binomial,family,family_correct,binomial_correct
Zachaenus sanctaecatharinae,Cycloramphidae,Cycloramphidae,Cycloramphus bolitoglossus
Zachaenus parvulus,Cycloramphidae,Cycloramphidae,Zachaenus parvulus
Zachaenus carvalhoi,Cycloramphidae,Cycloramphidae,Zachaenus carvalhoi
Xenorhina rostrata,Microhylidae,Microhylidae,Xenorhina rostrata
Xenorhina oxycephala,Microhylidae,Microhylidae,Xenorhina oxycephala
Xenorhina ocellata,Microhylidae,Microhylidae,Xenorhina ocellata
Xenorhina minima,Microhylidae,Microhylidae,Xenorhina minima
Xenorhina macrops,Microhylidae,Microhylidae,Xenorhina macrops
Xenorhina gigantea,Microhylidae,Microhylidae,Xenorhina gigantea
Xenorhina bidens,Microhylidae,Microhylidae,Xenorhina bidens
Xenopus wittei,Pipidae,Pipidae,Xenopus wittei
Xenopus victorianus,Pipidae,Pipidae,Xenopus victorianus
Xenopus vestitus,Pipidae,Pipidae,Xenopus vestitus
Xenopus parafraseri,Pipidae,Pipidae,Xenopus parafraseri
Xenopus muelleri,Pipidae,Pipidae,Xenopus muelleri
Xenopus longipes,Pipidae,Pipidae,Xenopus longipes
Xenopus lenduensis,Pipidae,Pipidae,Xenopus lenduensis
Xenopus largeni,Pipidae,Pipidae,Xenopus largeni
Xenopus laevis,Pipidae,Pipidae,Xenopus laevis
Xenopus kobeli,Pipidae,Pipidae,Xenopus kobeli
Xenopus itombwensis,Pipidae,Pipidae,Xenopus itombwensis
Xenopus gilli,Pipidae,Pipidae,Xenopus gilli
Xenopus fraseri,Pipidae,Pipidae,Xenopus fraseri
Xenopus fischbergi,Pipidae,Pipidae,Xenopus fischbergi
Xenopus clivii,Pipidae,Pipidae,Xenopus clivii
Xenopus borealis,Pipidae,Pipidae,Xenopus borealis
Xenopus allofraseri,Pipidae,Pipidae,Xenopus allofraseri
Xenophrys robusta,Megophryidae,Megophryidae,Xenophrys robusta
Xenophrys parva,Megophryidae,Megophryidae,Xenophrys parva
Xenophrys palpebralespinosa,Megophryidae,Megophryidae,Panophrys palpebralespinosa
Xenophrys omeimontis,Megophryidae,Megophryidae,Panophrys omeimontis
Xenophrys minor,Megophryidae,Megophryidae,Panophrys minor
Xenophrys longipes,Megophryidae,Megophryidae,Xenophrys longipes
Xenophrys baluensis,Megophryidae,Megophryidae,Pelobatrachus baluensis
Xenophrys aceras,Megophryidae,Megophryidae,Xenophrys aceras
Wolterstorffina parvipalmata,Bufonidae,Bufonidae,Wolterstorffina parvipalmata
Wolterstorffina mirei,Bufonidae,Bufonidae,Wolterstorffina mirei
Wolterstorffina chirioi,Bufonidae,Bufonidae,Wolterstorffina chirioi
Werneria tandyi,Bufonidae,Bufonidae,Werneria tandyi
Werneria preussi,Bufonidae,Bufonidae,Werneria preussi
Werneria bambutensis,Bufonidae,Bufonidae,Werneria bambutensis
Vitreorana eurygnatha,Centrolenidae,Centrolenidae,Vitreorana eurygnatha
Vandijkophrynus gariepensis,Bufonidae,Bufonidae,Vandijkophrynus gariepensis
