binomial,family,family_correct,binomial_correct
Acrochordus arafurae,Acrochordidae,Acrochordidae,Acrochordus arafurae
Acrochordus granulatus,Acrochordidae,Acrochordidae,Acrochordus granulatus
Acrochordus javanicus,Acrochordidae,Acrochordidae,Acrochordus javanicus
Acanthocercus adramitanus,Agamidae,Agamidae,Acanthocercus adramitanus
Acanthocercus annectens,Agamidae,Agamidae,Acanthocercus annectans
Acanthocercus atricollis,Agamidae,Agamidae,Acanthocercus atricollis
Acanthocercus branchi,Agamidae,Agamidae,Acanthocercus branchi
Acanthocercus cyanogaster,Agamidae,Agamidae,Acanthocercus cyanogaster
Acanthocercus guentherpetersi,Agamidae,Agamidae,Acanthocercus guentherpetersi
Acanthocerus guentherpetersi,Agamidae,Agamidae,Acanthocercus guentherpetersi 
Acanthocercus phillipsii,Agamidae,Agamidae,Acanthocercus phillipsii
Acanthocercus yemensis,Agamidae,Agamidae,Acanthocercus yemensis
Acanthosaura armata,Agamidae,Agamidae,Acanthosaura armata
Acanthosaura capra,Agamidae,Agamidae,Acanthosaura capra
Acanthosaura cardamomensis,Agamidae,Agamidae,Acanthosaura cardamomensis
Acanthosaura coronata,Agamidae,Agamidae,Acanthosaura coronata
Acanthosaura crucigera,Agamidae,Agamidae,Acanthosaura crucigera
Acanthosaura lepidogaster,Agamidae,Agamidae,Acanthosaura lepidogaster
Acanthosaura nataliae,Agamidae,Agamidae,Acanthosaura nataliae
Acanthosaura phongdienensis,Agamidae,Agamidae,Acanthosaura phongdienensis
Agama aculeata,Agamidae,Agamidae,Agama aculeata
Agama africana,Agamidae,Agamidae,Agama africana
Agama sylvana,Agamidae,Agamidae,Agama africana
Agama agama,Agamidae,Agamidae,Agama agama
Agama anchietae,Agamidae,Agamidae,Agama anchietae
Agama andrietae,Agamidae,Agamidae,Agama anchietae
Agama armata,Agamidae,Agamidae,Agama armata
Agama atra,Agamidae,Agamidae,Agama atra
Agama boensis,Agamidae,Agamidae,Agama boensis
Agama bottegi,Agamidae,Agamidae,Agama bottegi
Agama boueti,Agamidae,Agamidae,Agama boueti
Agama boulengeri,Agamidae,Agamidae,Agama boulengeri
Agama caudospinosa,Agamidae,Agamidae,Agama caudospinosa
Agama cristata,Agamidae,Agamidae,Agama cristata
Agama doriae,Agamidae,Agamidae,Agama doriae
Agama etoshae,Agamidae,Agamidae,Agama etoshae
Agama finchi,Agamidae,Agamidae,Agama finchi
Agama gracilimembris,Agamidae,Agamidae,Agama gracilimembris
Agama hartmanni,Agamidae,Agamidae,Agama hartmanni
Agama hispida,Agamidae,Agamidae,Agama hispida
Agama hulbertorum,Agamidae,Agamidae,Agama hulbertorum
Agama impalearis,Agamidae,Agamidae,Agama impalearis
Agama insularis,Agamidae,Agamidae,Agama insularis
Agama kaimosae,Agamidae,Agamidae,Agama kaimosae
Agama kirkii,Agamidae,Agamidae,Agama kirkii
Agama knobeli,Agamidae,Agamidae,Agama knobeli
Agama lebretoni,Agamidae,Agamidae,Agama lebretoni
Agama lionotus,Agamidae,Agamidae,Agama lionotus
Agama dodomae,Agamidae,Agamidae,Agama lionotus
Agama lucyae,Agamidae,Agamidae,Agama lucyae
Agama montana,Agamidae,Agamidae,Agama montana
Agama mossambica,Agamidae,Agamidae,Agama mossambica
Agama mucosoensis,Agamidae,Agamidae,Agama mucosoensis
Agama mwanzae,Agamidae,Agamidae,Agama mwanzae
Agama parafricana,Agamidae,Agamidae,Agama parafricana
Agama paragama,Agamidae,Agamidae,Agama paragama
Agama persimilis,Agamidae,Agamidae,Agama persimilis
Agama planiceps,Agamidae,Agamidae,Agama planiceps
Agama robecchii,Agamidae,Agamidae,Agama robecchii
Agama rueppelli,Agamidae,Agamidae,Agama rueppelli
Agama sankaranica,Agamidae,Agamidae,Agama sankaranica
Agama spinosa,Agamidae,Agamidae,Agama spinosa
Agama tassiliensis,Agamidae,Agamidae,Agama tassiliensis
Agama turuensis,Agamidae,Agamidae,Agama turuensis
Agama wachirai,Agamidae,Agamidae,Agama wachirai
Agama weidholzi,Agamidae,Agamidae,Agama weidholzi
Lophognathus burnsi,Agamidae,Agamidae,Amphibolurus burnsi
Amphibolurus centralis,Agamidae,Agamidae,Amphibolurus centralis
Amphibolurus muricatus,Agamidae,Agamidae,Amphibolurus muricatus
Amphibolurus norrisi,Agamidae,Agamidae,Amphibolurus norrisi
Aphaniotis acutirostris,Agamidae,Agamidae,Aphaniotis acutirostris
Aphaniotis fusca,Agamidae,Agamidae,Aphaniotis fusca
Aphaniotis ornata,Agamidae,Agamidae,Aphaniotis ornata
Bronchocela burmana,Agamidae,Agamidae,Bronchocela burmana
Bronchocela celebensis,Agamidae,Agamidae,Bronchocela celebensis
Bronchocela cristatella,Agamidae,Agamidae,Bronchocela cristatella
Bronchocela hayeki,Agamidae,Agamidae,Bronchocela hayeki
Bronchocela jubata,Agamidae,Agamidae,Bronchocela jubata
Bronchocela marmorata,Agamidae,Agamidae,Bronchocela marmorata
Bronchocela rayaensis,Agamidae,Agamidae,Bronchocela rayaensis
Bronchocela shenlong,Agamidae,Agamidae,Bronchocela shenlong
Bronchocela smaragdina,Agamidae,Agamidae,Bronchocela smaragdina
Bronchocela vietnamensis,Agamidae,Agamidae,Bronchocela vietnamensis
Bufoniceps laungwalaensis,Agamidae,Agamidae,Bufoniceps laungwalaensis
Calotes bachae,Agamidae,Agamidae,Calotes bachae
Calotes calotes,Agamidae,Agamidae,Calotes calotes
Calotes ceylonensis,Agamidae,Agamidae,Calotes ceylonensis
Calotes chincollium,Agamidae,Agamidae,Calotes chincollium
Calotes emma,Agamidae,Agamidae,Calotes emma
Calotes grandisquamis,Agamidae,Agamidae,Calotes grandisquamis
Calotes htunwini,Agamidae,Agamidae,Calotes htunwini
Calotes irawadi,Agamidae,Agamidae,Calotes irawadi
Calotes jerdoni,Agamidae,Agamidae,Calotes jerdoni
Calotes liocephalus,Agamidae,Agamidae,Calotes liocephalus
Calotes liolepis,Agamidae,Agamidae,Calotes liolepis
Calotes maria,Agamidae,Agamidae,Calotes maria
Calotes minor,Agamidae,Agamidae,Calotes minor
Calotes mystaceus,Agamidae,Agamidae,Calotes mystaceus
Calotes nemoricola,Agamidae,Agamidae,Calotes nemoricola
Calotes nigrilabris,Agamidae,Agamidae,Calotes nigrilabris
Calotes nigriplicatus,Agamidae,Agamidae,Calotes nigriplicatus
Oriocalotes paulus,Agamidae,Agamidae,Calotes paulus 
Calotes versicolor,Agamidae,Agamidae,Calotes versicolor
Calotes zolaiking,Agamidae,Agamidae,Calotes zolaiking
Ceratophora aspera,Agamidae,Agamidae,Ceratophora aspera
